Client Name,Service Name,Email,Category,Type,Item,
RetailWebsite83,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wst5gu4ibfhhv4wdpc2q">View</a>
RetailWebsite9,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.bqaunadfzoaxq63kiz4q">View</a>
RetailWebsite20,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fj2gejksc2vghi3squbq">View</a>
RetailWebsite43,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.zwhq7pmuhwappipfwntq">View</a>
RetailWebsite129,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3of6ccwuegkqrngdqdha">View</a>
RetailWebsite8,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.n5dqgz5z3m5ggzh5cduq">View</a>
RetailWebsite114,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.j2irs3s3afvmfpr5lkoa">View</a>
RetailWebsite1,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.orupwsvmit72h6x3n5yq">View</a>
RetailWebsite69,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ynuducvslclrldn5ct2a">View</a>
RetailWebsite146,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vwh4ojcnt4l4zr7bepxa">View</a>
RetailWebsite147,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.caq4xqunv7c6elhhucea">View</a>
RetailWebsite26,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qev536xjmkn7yw3bmuba">View</a>
RetailWebsite18,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.34n2x2qbszvgqqwywvja">View</a>
RetailWebsite141,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.dgoemnsu3qwntrlu5apa">View</a>
RetailWebsite125,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7djgmrekeso5j6cfd4ia">View</a>
RetailWebsite29,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qgzdi3qd2b4s2bhmmw3a">View</a>
RetailWebsite110,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kaxotv4tn2nssftosava">View</a>
RetailWebsite116,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ishbzydshgmuew46j5oq">View</a>
RetailWebsite133,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.x4eg7to5q7ysytx2abka">View</a>
RetailWebsite60,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.47r23ydujm3gaabsshtq">View</a>
RetailWebsiteSkeleton,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vauahzlwljirzggc67pq">View</a>
RetailWebsite87,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4isz4dfmgdq6nxemcgfq">View</a>
RetailWebsite148,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vkbxkzfr2w67rc6fgraa">View</a>
RetailWebsite30,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gpminwkj5ykuoguvwfqa">View</a>
RetailWebsite42,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.k33m44gl4kttlqn4koqa">View</a>
DemoNitishService,CelioService,nitishw@amazon.com,India,Payments,DevTeam,<a href="/relationships/amzn1.aaa.rel.vkr6j5kcsly6owuw4jnq">View</a>
RetailWebsite102,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qpklen34xgjv2n3fdl4a">View</a>
RetailWebsite122,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fpchaacf2j3xodwhobra">View</a>
RetailWebsite63,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7i2inrgfjykroub4ufoq">View</a>
DVPAClients,CelioService,leomendo@amazon.com,Digital Video,Website,Signup - Prime,<a href="/relationships/amzn1.aaa.rel.mxcrxuccnkvvg43xz7lq">View</a>
CoralDiverWebsite,CelioService,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.lsvqkg633orh62fzphgq">View</a>
RetailWebsite45,CelioService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.bu7kajqspm3363xix2rq">View</a>
