Client Name,Service Name,Email,Category,Type,Item,
SerracAPITestApplication,INGCSharpService,sx-delhi-team@amazon.com,Amazon.in,Seller Experience,SAFE-T,<a href="/relationships/amzn1.aaa.rel.2xpxfbmbajireuwzuw4q">View</a>
QAarprakas,INGCSharpService,vaibsing@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.plba7xc7awxqydmnbwfa">View</a>
KuberCheckoutService,INGCSharpService,in-eps-cx-team@amazon.com,Payments,IN-EPS,IN-EPS-CX,<a href="/relationships/amzn1.aaa.rel.u5tyghgf3gjna7pdjxhq">View</a>
RetailWebsite34,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5qlm4rtfgsyfjuwdayoa">View</a>
DataEmissary,INGCSharpService,data-emissary-dev@amazon.com,TRMS-Investigation-Tools,DataEmissaryService,Autocut-Monitors,<a href="/relationships/amzn1.aaa.rel.42r2fd5zslfujky5oyqq">View</a>
INGCTPVWrapperService,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.5rxxsj72p6hjn3by6d2q">View</a>
RetailWebsite30,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rvcemueqm3yyprl2dexa">View</a>
RetailWebsite110,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cglvxxsiueumow4y3bqa">View</a>
RetailWebsite141,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7nuiclfsdbfn5xodhnna">View</a>
DigitalVideoWebsite,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hjpj7nq3h2y5iotemtwa">View</a>
RetailWebsite94,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.b6e2q6pjbtwry7selgoq">View</a>
AmazonDigiBankService,INGCSharpService,indiasva@amazon.com,Payments,Amazon Pay Balance,Core-Services,<a href="/relationships/amzn1.aaa.rel.3pjfhzxeev7pxb2umjoq">View</a>
InvestigatorWorkbenchUI_TRMS,INGCSharpService,spa-eng-dfw@amazon.com,Selling Partner Abuse,spa-engineering,ParagonInvestigationWidgets,<a href="/relationships/amzn1.aaa.rel.hyppcoojbdvcuzta5fha">View</a>
RetailWebsite120,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ig7eul5jviyrbemqztiq">View</a>
RetailWebsite108,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ngri4tytxydq6wg3ygmq">View</a>
RetailWebsite37,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.z4xnpaalhvdyzaaeptxq">View</a>
OrderHistoryAggregator,INGCSharpService,website-cs-dev@amazon.com,Website,Order History Search,Backend,<a href="/relationships/amzn1.aaa.rel.m3ym3f7fg7wod4zsn74q">View</a>
RetailWebsite95,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.iv4ecszgm44hq74qlvpq">View</a>
RetailWebsite132,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.dsn4mm6h5dax5rykwraq">View</a>
RetailWebsite39,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7brmaj2thxxrcjo7w6hq">View</a>
INGCTPVWrapperServiceTests,INGCSharpPerformAsyncService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.nwnzz3ynsg7jgvawsmsa">View</a>
RetailWebsite124,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.55twpdomp4v7nwmpsg7a">View</a>
INGCTPVWrapperService,INGCSharpProxyService_GetCustomerBalance,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.hyf3elecrz5w6p3fgpiq">View</a>
InvictusCheckout,INGCSharpService,invictus-cx@amazon.com,Amazon.in,UFD,PrimeNowCX,<a href="/relationships/amzn1.aaa.rel.kbuv2o23i7nncwbgbenq">View</a>
PaymentContractExecutionService,INGCSharpPerformAsyncService,pcx-dev@amazon.com,Payments,Service,Payment Contract,<a href="/relationships/amzn1.aaa.rel.4i3vtmmwssblmhigopxq">View</a>
RetailWebsite32,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gtgjlob652gxk7ioqw6a">View</a>
RetailWebsite60,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.iwrqskvhawk6f25hn6hq">View</a>
RetailWebsite52,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.llihb6iwzem5aklmgxla">View</a>
RetailWebsite81,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.u7p6vtt2zqjt2gd6nvuq">View</a>
RetailWebsite8,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.4arujxozif456tapnadq">View</a>
RetailWebsite67,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rkdmgmgfhe3n2cci353q">View</a>
CounterfeiterWork,INGCSharpService,songd@amazon.com,Payments,Service,Picasso,<a href="/relationships/amzn1.aaa.rel.34sbqyn4w7sijoxndshq">View</a>
RetailWebsite142,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.22s2ye2fwrkrosjqs2ja">View</a>
RetailWebsite43,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gslfn5xewmnfe6rj5gwa">View</a>
RetailWebsite57,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.iyviuztsmkry4pjjznca">View</a>
RetailWebsite130,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2odgggdjhd6amtcgugka">View</a>
RetailWebsite129,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wct7wyt5f5yqws6dzasq">View</a>
RetailWebsite91,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.et2yhhsesoyvpn2tygnq">View</a>
RetailWebsite139,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.sce2wsjxhnzwi7njihoa">View</a>
RetailWebsite96,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.nmdsfvj5utkk7n2kdtaq">View</a>
KIS-BenefitFulfillmentExecutor,INGCSharpService,dice-fc-dev@amazon.com,Digital Media Technology,DiCE,BenefitFulfillmentWorkflows,<a href="/relationships/amzn1.aaa.rel.szkamyhvw2f22ydnft6q">View</a>
CoralDiverWebsite,INGCSharpProxyService,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.odd2z3sbaccue57vup2q">View</a>
CSCentral,INGCSharpService,cs-devx@amazon.com,Customer Service,CSC/Texas,SellerCSWebsite AAA relationship requests,<a href="/relationships/amzn1.aaa.rel.tqvo4puxqimaeog56hya">View</a>
RetailWebsite106,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hnrgnognaqw3a7zymy3q">View</a>
CSSlapshotService,INGCSharpService,cs-slapshot-team@amazon.com,Customer Service,Slapshot,Service,<a href="/relationships/amzn1.aaa.rel.uotq4sscfcpfjowl5cmq">View</a>
RetailWebsite111,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6tv5cdg3nlk6tzglpccq">View</a>
PayStation,INGCSharpService,paystation-dev@amazon.com,Payments,Service,PayStation,<a href="/relationships/amzn1.aaa.rel.i5sj7ni3ggffk3cepbbq">View</a>
RetailWebsite101,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2njjwk6332q6azjxa63q">View</a>
INGCExpiryService,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.j6mvde73l3mxz4ufomka">View</a>
RetailWebsite145,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3irv63tdjmvia4n2mwla">View</a>
RetailWebsite4,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hoxzd5dmxxaw735htjoq">View</a>
INGCSharpTests,INGCSharpPerformAsyncService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.lbsem5e5srvvyhciraba">View</a>
RetailWebsite100,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vstnanpz7lax55g4ch5q">View</a>
RetailWebsite10,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.k7b2co5efsurvgjv7foa">View</a>
RetailWebsite25,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2nfdw2goaor3hpymcvka">View</a>
AIRCubeCourier,INGCSharpService,hitendea@amazon.com,Payments,AIRCube,Tech Issues,<a href="/relationships/amzn1.aaa.rel.pd6mzjivmv2wwrptszwa">View</a>
BuyBackPortalService,INGCSharpService,a2i-blr-dex@amazon.com,Amazon.in,Delivery Experience,BuyBackProgram,<a href="/relationships/amzn1.aaa.rel.rqfm3pb3hrebwer4fxka">View</a>
BuyerFraudVariableComputationService,INGCSharpService,trms-platforms@amazon.com,IT Dev,Buyer Fraud Services,VCS,<a href="/relationships/amzn1.aaa.rel.lrgfnqjqltvbfdn3kifa">View</a>
INGCSharpTests,INGCSharpService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.v3r2uuqkuvypz76vvm7q">View</a>
RetailWebsite64,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qwocup6m7pwigihzea2q">View</a>
INGCDebugApp,INGCSharpService,ingc-team@amazon.com,India,Gift Card,Autocut,<a href="/relationships/amzn1.aaa.rel.rnamltqlywmh3ilhqc5q">View</a>
TestClientbandakhi,INGCSharpService_GetCustomerBalance,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.sqrvfcznztjcvgioqm5a">View</a>
RetailWebsite20,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.io4nfytffcpwxkv3h4pq">View</a>
INGCTPVWrapperServiceTests,INGCSharpService,ingc-team@amazon.com,India,Gift Card,DevTeam,<a href="/relationships/amzn1.aaa.rel.ynw2brbs5kg2aygdyxxq">View</a>
RetailWebsite61,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rrg4syizk4evqtgobpka">View</a>
RetailWebsite112,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.65vml2ppaoc74yclufaa">View</a>
RetailWebsite9,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.xdmueszkhw6goppbnmra">View</a>
RetailWebsite26,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.w6aecjo2s7rbrpveonmq">View</a>
RetailWebsite97,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.s6zyf6ixg5wc5p3jluca">View</a>
RetailWebsite80,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.z2wbdxjxqjh2xyleae5q">View</a>
RetailWebsite66,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qiwoak4tdinln4esq77q">View</a>
RetailWebsite6,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.d5lg5etkazp6ssmj3ora">View</a>
RetailWebsite47,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7kp2wf3yiadwgm4xnzcq">View</a>
RetailWebsite19,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cttdbktdtmxi3ijntdka">View</a>
APEX,INGCSharpService,arun-affordability-team@amazon.com,India,Payments,APEXService,<a href="/relationships/amzn1.aaa.rel.wbk5qyizbwhi6hbfxkqa">View</a>
RetailWebsite2,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qdvfkepymzjcnezwo6na">View</a>
CoronaTests,INGCSharpService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.2ibg7lyde4kxpiphpjaa">View</a>
RetailWebsite65,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.bi2y7bsqdgc5s67aeswq">View</a>
RetailWebsite53,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qavxf3n4edtwfwf6iqyq">View</a>
CoralDiverWebsite,INGCSharpPerformAsyncService,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.6pdjaf5epjwmyja3e7kq">View</a>
DigitalVideoWebsiteTools,INGCSharpService,dv-web-team@amazon.com,Digital Video,Website,Infrastructure,<a href="/relationships/amzn1.aaa.rel.zrobrqrh2q3wn34edqda">View</a>
RetailWebsite133,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qtouwz5n2euvnlwenglq">View</a>
RetailWebsite107,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.trkdlgjrks2gxjfots7a">View</a>
RetailWebsite116,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ltfd4v4h7wm33jzsfikq">View</a>
RetailWebsite24,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.tm4cdwdqpsj6ag64edna">View</a>
RetailWebsite58,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wpwxlqznox2l354z77da">View</a>
RetailWebsite,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.f4sr6zgoji6bsy5qfo2a">View</a>
INPayQABindle,INGCSharpPerformAsyncService,arpim@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.x34qmuurusiza5dlkkja">View</a>
IndiaPaymentsQASupport,INGCSharpService,india-issuance-qa@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.av6hl4nomkqlbkr2rl7q">View</a>
RetailWebsite21,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.zmagrtiiu6zbzeqebyoa">View</a>
RetailWebsite59,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.vwr6mbn4tmqzw3eeb64a">View</a>
RetailWebsite143,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kqovupghlzrk6kci4vja">View</a>
CoralDiverWebsite,INGCSharpService_GetCustomerBalance,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.tsydzmvmi7vjsuscjcza">View</a>
RetailWebsite27,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rpoymv5nffkoit6t7yqq">View</a>
PromotionsFulfillmentService,INGCSharpService,rajeevr@amazon.com,Company-wide Services,Services,INRewards,<a href="/relationships/amzn1.aaa.rel.b5u232gdbtfhhbrn5sdq">View</a>
RetailWebsite147,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.5upixtjs575itgaxlhla">View</a>
RetailWebsite109,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.t7qzbbtudeh6ndihadkq">View</a>
AbuseIWJavaUI,INGCSharpService,policy-engineering-dev@amazon.com,TRMS,Policy Engineering,AbuseIWJavaUI,<a href="/relationships/amzn1.aaa.rel.ixxegl7qg77r5dgy7izq">View</a>
RetailWebsite149,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qxkgepocpcvfbuzxr6tq">View</a>
RetailWebsiteSkeleton,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.3qlroshmkdzeznuef3fq">View</a>
PointsGCProxyService,INGCSharpService,lpa-in-dev@amazon.com,Payments,Incentives-IN,Default,<a href="/relationships/amzn1.aaa.rel.o5tabtaz3vahbzamrrbq">View</a>
RetailWebsite29,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7sdoiadq6j6no4vqyz7a">View</a>
SellerRewardsProgramService,INGCSharpService,a2i-ssr-tech@amazon.com,Amazon.in,Seller Experience,SRP,<a href="/relationships/amzn1.aaa.rel.oxylay3yffk3m35vlsta">View</a>
RetailWebsite17,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.h6bmqqy5xgspeacplhla">View</a>
RetailWebsite49,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.gggdq2sgx6vdopuokv7a">View</a>
CoralDiverWebsite,INGCSharpProxyService_GetCustomerBalance,service-frameworks-team@amazon.com,IT Dev,Software Platform,Coral,<a href="/relationships/amzn1.aaa.rel.dgiahtixpxzfby42ewsa">View</a>
RetailWebsite44,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.cg3hiu6rrjwvtcne5hea">View</a>
RetailWebsite46,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.fvwlk2r5qulexm2gjt3a">View</a>
PaymentPlanService,INGCSharpProxyService_GetCustomerBalance,payment-definition-team@amazon.com,Payments,Service,PaymentPlanService,<a href="/relationships/amzn1.aaa.rel.yqpq62hbyagh4rqhdoga">View</a>
CoronaTests,INGCSharpPerformAsyncService,ingc-team@amazon.com,India,Payments,QA,<a href="/relationships/amzn1.aaa.rel.picv7qg4oifmp6jqyy6q">View</a>
RetailWebsite75,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.addgow3qst6j3nr3irsa">View</a>
RetailWebsite115,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.e4hjkhtepc4hwwylh43q">View</a>
RetailWebsite87,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.uiywqbkp7azzimvlkq3a">View</a>
CSConcessions,INGCSharpService,concessions-execution@amazon.com,Customer Service,CSC/Texas,Concessions Auto Cut,<a href="/relationships/amzn1.aaa.rel.vux4z6de7rpyrro3scqq">View</a>
RetailWebsite148,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7ctqfbs4cnldjj2mvmoa">View</a>
RetailWebsite54,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.mcxxvfhtdbt7t4c6bvxq">View</a>
CheckoutApplicationService,INGCSharpService,rcx-checkout-dev@amazon.com,Website,Amazon Checkout Pipeline,Autocut - Cheetah (Internal Only),<a href="/relationships/amzn1.aaa.rel.jqv4idna6q2gsb5uvwvq">View</a>
CygnusService,INGCSharpProxyService_GetCustomerBalance,india-payments-dev@amazon.com,India,Payments,India Payments SVA,<a href="/relationships/amzn1.aaa.rel.xvnhyomtmrwq266d32fa">View</a>
RetailWebsite68,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.25kwpgxeeblcuotgen5q">View</a>
RetailWebsite121,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.r6iqzlearubrvujm2z7a">View</a>
PPQA-AAA,INGCSharpService,payment-plan-team@amazon.com,Payments,Service,PaymentPlanService,<a href="/relationships/amzn1.aaa.rel.bcchqqnsptyr7liahppa">View</a>
DVPAClients,INGCSharpService,leomendo@amazon.com,Digital Video,Website,Signup - Prime,<a href="/relationships/amzn1.aaa.rel.3u5tajhrmxof2gsbxssa">View</a>
RetailWebsite14,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.73sivybwo7tzp6l4vk5a">View</a>
RetailWebsite83,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.wadp5qzpydhjqf7qlbia">View</a>
RetailWebsite123,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.jwdbkd2iwezymjtkztlq">View</a>
ReturnCOMETService,INGCSharpService,creturns-platform-dev@amazon.com,Transportation,Customer Returns,PlatformDev,<a href="/relationships/amzn1.aaa.rel.7gw52cdxhfwvrfv5z52q">View</a>
RetailWebsite146,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.r4ddsogethuvdkgk65ea">View</a>
RetailWebsite136,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.qatfyv77pyimsmg45rba">View</a>
RetailWebsite137,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.kgu6a3lwp7mt3c2ibadq">View</a>
KuberDoot,INGCSharpService,in-eps-mx-team@amazon.com,Payments,IN-EPS,IN-EPS-MX,<a href="/relationships/amzn1.aaa.rel.5jay7vwjryg7dm6n4v7a">View</a>
RetailWebsite79,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.7d6iy6db42sbcvfyekna">View</a>
RetailWebsite89,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.ngk2qimvx33nvolmci6q">View</a>
TritonWidgetWebsite,INGCSharpService,saitama-team@amazon.com,TRMS-Investigation-Tools,Triton,Autocut-Monitors,<a href="/relationships/amzn1.aaa.rel.sku7cfplprz3s3vqxwdq">View</a>
CygnusService,INGCSharpProxyService,india-payments-dev@amazon.com,India,Payments,India Payments SVA,<a href="/relationships/amzn1.aaa.rel.sdgfbtbfy3lik5dz7a5a">View</a>
RetailWebsite51,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.rbdw6crmqj3cl5hdp4ba">View</a>
FXQA,INGCSharpService,credit-qa@amazon.com,Payments,Service,Credit QA,<a href="/relationships/amzn1.aaa.rel.js6f4kjpiabfvr436boa">View</a>
RetailWebsite76,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.6u6ixe4shgnszzzfkz3q">View</a>
RetailWebsite3,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.hfnw7cvy3biakb4mydaq">View</a>
RetailWebsite71,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.2qzd5lw6meeqkihifngq">View</a>
RetailWebsite33,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.xt5kmbgptogvzbl2v3ea">View</a>
Reparo,INGCSharpService,in-apex-tech@amazon.com,India,Payments,ReparoService,<a href="/relationships/amzn1.aaa.rel.2rgzncdznuhqf4afsutq">View</a>
RetailWebsite104,INGCSharpService,N/A,N/A,N/A,N/A,<a href="/relationships/amzn1.aaa.rel.nbbfikyzcepvhnibwt7q">View</a>
